Nombre,Carbohidratos,Lipidos ,Proteina ,Sodio,Calorias 
salchicha,2.3,5.9,5.7,425,85
pan hot dog wonder,21,1.5,3,210,110
frijoles refritos isadora,16.3,2.9,7.7,543,122
tocino,0,9.6,1.8,0,94
mostaza mackormick,2,0.7,0,160,8
catsup heinz,10,0,0,320,40
Coca sin azucar,0,0,0,36,2
uvas verdes,28.9,0.3,1.2,3,110
tortilla de harina,0.2,2.2,5.7,21,209
frijoles de olla,37.4,7.7,9.7,738,265
boneless Tyson,16,14,24,0,300
Mirinda,33.9,0,0,60,135
huevo,0.6,5.3,6.3,0,78
chorizo,46,1.2,6,0,252
Leche,12.4,1.3,7.5,105.9,91
carne molida,0,27.9,38,600,414
arroz blanco,44.1,0.4,4.2,577,204
brócoli,12,2.7,8.5,99,102
Coca sin azucar,0,0,0,36,2
Palomitas cinépolis,224,0,0,1000,1200
snickers,21,12,4,100,178
Coca light,0,0,0,60,0
uvas moradas,30,1,1.1,4,121
manzana,19,0.2,0.3,1,72
totopos,109.5,22.5,13.5,1284,698
salsa verde Herdez,4,0,1.4,1506,44
queso blanco clavel,0,33.5,22.2,0,11
crema lala,1.9,4.5,1.1,27,53
cebolla morada,4.4,0.1,0.5,4,20
Pan orégano parmesano,21.3,0.6,4.2,0,99
Peperonni,6,0.2,1,2,27
Salami,0,28,24,3.8,348
Tomate,3.9,0.2,0.9,5,18
Lechuga,2.9,0.2,1.4,28,15
Chile jalapeño,7,0.4,0.9,3,28
Pepinillos,1,0,0,290,5
Pimientos verde,4,0.3,0.7,3,17
Mayonesa Heinz,2,5,0,150,50
Salsa chipotle,4,0,1,500,20
Galleta de macadamia,28,11,2,130,220
sabritas,30,19,4,280,308
salsa botanera,0,0,0,87.7,0
jugo maggi,2.7,0,1.5,1.3,17
limón,3,0,0,13,10
Topo chico,27,0,0,20,100
pan blanco bimbo,12,0.5,3,95,65
mayonesa mckormick,2,6,0.2,135,63
Leche de almendra,8,2.5,1,150,60
Nesquik,21,1.1,15,55.8,108
Pan para hamburguesa,28.2,2.4,4.5,232,152
Pechuga de pollo,0,3.8,57.5,1062.5,275
Empanizador,51,2.7,12.2,186,357
papas fritas Wendys,14,10,2,180,154
Coca regular,35,0,0,0,139
Pay de manzana,55,9,8,0,360
Crema de brócoli,6.2,3.9,1.5,0,66
Chuleta de puerco,1.1,14.6,32.4,0,265
puré de papa,33,7.4,3.8,485,210
Champiñones,5,0.5,2.2,2,33
brownie,21,4,1,95,120
menudo,60,10.6,35.2,3322,466
dona de chocolate,18,5,3,163,133
chips moradas,52.3,30.8,7.1,0.4,515
tostadas,19.8,5.8,1.8,155,127
atún,0,0.4,14.4,0.3,102
chicharos,15,0.3,7.7,200,94
elotes,10,2,2,0,66
Aderezo de ensalada,7,9,0,115,110
Alitas de pollo,13.9,15.9,12,885.3,247
Salsa Buffalo,1,6,0,910,60
Ranch,2,14,1,260,140
Aros de cebolla,34.6,11.4,4.3,110,251
Agua jamaica Ciel,0,0,0,62,2
 Rice krispie treat,17,2,1,105,90
Tortillas de maíz,32.3,0.3,3.2,175.5,145
carne molida,0,18.6,25.4,400,276
papa,18,0.2,3,24,83
Aceite capullo,1,14,1,1,126
Chuleta de puerco,1.1,14.6,32.4,0,265
pasta fetuccini,43,1.3,8.1,326,220
Salsa alfredo,0,6,1,440,70
Pollo a la parrilla,1,2,22,110,100
Chetos puff,52.3,30.8,7.1,0.4,515
Dr pepper,35,0,0,0,139
hotcakes,90,0,0,40,476
mantequilla countrycrock,0,5,0,95,50
miel caro,12.5,0,0,145,50
pastel de carne,4,50,44,640,262
Zucaritas,27,0,1,115,110
pizza,69,17.3,24.8,909,525
Salsa valentina,2,14,0,0,140
pan cero bimbo,12,0.5,3,95,65
cajeta,28.4,1,2.2,300,131
huevo revuelto con chorizo,0.6,5.3,6.3,0,78
camarón,0,1.5,21,468,100
pulpo,5.9,5.5,9.5,1.6,112
tilapia,1,8,23,320,170
aguacate,12.8,22,3,10.5,240
pico de gallo,4,0,1,470,20
galletas saladitas,8,1,1,160,45
Chocolatines,19,6,1,64,134
melón,6,0.2,0.6,14,27
sandía,7.6,0.2,0.6,1,30
fresas,7.7,0.3,0.7,1,32
yogurth griego,10,0,13,80,90
sopa de coditos,16.5,7,2.6,9,83
tacos de barbacoa,58,18,40,1430,540
maruchán,39,12,7,1190,290
BBQ ribs,15,45.3,60,1500,665
pan integral bimbo,12,0.5,3,95,65
lechera,17,0,2,0,70
espaguetti,30,0,12,5,158
bolognesa,7,6,5,0,106
Salsa ragú,24,4,4,960,160
Hamburguesa,39,41,37,1440,670
chilli,0,17,36,2.3,387
queso cheddar,0.9,9.4,6.5,185.1,115
malteada ,74,23,13,220,540
flautas de res,46.6,17.2,19.1,1218,418
Fruit Loops,26,1,1,135,110
Yogurth de fresa,21.8,3.3,3.5,56.7,130
oreos,41,11,2,240,270
chicken fingers,21,13,13,520,240
mostaza dulce ,6,11,0,150,130
elote en vaso,39.3,11,9.4,912.5,282
Duraznos en almibar,17,0,0,0,72
Ensalada de atún,7,7,24,127,183
ritz,10,4.5,1,105,80
pan frances,43,15,45,100,487
nieve de vainilla,25.1,9.7,2.6,81.1,199
panditas,40.5,0,3.3,7,175
McGrill,21,4,24,690,210
McCoffe,76,9,3,0,395
Hashbrown,15,9,1,310,150
caldo de pollo,3.1,19.9,13.4,378,172
tortilla de harina,0.2,2.2,5.7,21,209
guacamole,15,27,3,510,300
Frijoles cocidos,20.4,1,7.6,1,114
bolillo,22.6,1.9,3.9,274,125
Queso panela,3,20.7,16.4,621,258
chamberete,0,4.4,21.7,100,126
tortilla de harina,0.2,2.2,5.7,21,209
frijoles refritos,24.4,5.8,15.4,944.4,248
arroz rojo,19.2,1.6,2,258,124
mole poblano,22.2,21,10.8,610,313
Polvorones,52,17.6,3.6,124,384
pasta alfredo,87,0,19,0,570
Pan de ajo,0,0,0,0,240
Jamon york fud,1.3,3.6,16,800,102
Queso filadelfia,0,4,0,60,40
platano,27,0.4,1.3,0,105
Crema de elote,30,6,2,1472,182
brochetas de pollo,1,8,16,0,140
Tacos de papa,84.5,0,18.5,647.2,686
pasta penne,42,1,7,10,200
brócoli,12,2.7,8.5,99,102
avena,55.7,7.7,11.7,0,353
media crema,2,20,2,0,196
coctel de camarón,16.7,1.8,25.1,1817,196
Ceviche de pescado,9.2,2,28.8,325,173
arroz con leche,29.6,3.6,4.6,77,169
Takis fuego,16,8,2,390,140
Pan ajo rostizado,10,1,6,290,150
Pechuga de pavo,1.3,0.5,17.8,800,78
queso americano,5,23,14,3.6,283
pozole,17,7,22,423,220
tacos de discada,16,32,52,1700,800
chicharrones,17,8.8,1.8,0,160
gelatina,2.2,0,0,0.2,37
crema batida,1,5.5,0.3,5.6,51
quesadilla,20,13,18,739,274
mac and cheese,50,1,8,570,370
galletas emperador ,20,5.7,1.9,130,139
sincronizada,30,18,26,842,332
nieve de napolitano,28,10,2,65,210
cebolla caramelizada,48,1,0.5,0,204
queso fundido,6.9,26.5,19.3,1266.5,352
pimientos rojos,4,0.2,1,0.2,22
coliflor cocida,4.4,0.6,2.2,15,28
sopa de tortilla,22,18,26,990,350
tacos de camarón,120,36,60,4182,1080
salsa de aguacate,4,9,0,360,20
subway melt,46,13.4,31,932,432
cono de cajeta,65,5,4,65,276
Pay de limón,32.3,9,5.1,123,231
machaca,2,5,17,0,120
papaya,13.7,0.2,1,4,55
cheesecake,31,15,6,240,280
caldo de pescado,8,2,2,3.1,50
calabacín,2,0.5,1.8,1,23
camarones empanizados,11.8,12.3,20.7,487,245
empanada de fresa,21.5,2.7,1.8,372,118
filete de carne,0,30,72,180,570
Salchicha para asar,7.2,17.2,11.2,944,230
Manzanita soto,60,0,0,19.8,237
chocolate caliente,30,3.5,3,135,120
waffles ,1.5,5,4,350,180
miel Karo light,0,1.1,0,10,5
quesadillas,48,26.9,32,660,540
donas bimbo verdes,39.6,20.7,4.2,291,363
carne seca,2.2,5.1,6.6,443,82
Pechuga de pollo rellena,14,14.5,14.1,576,243
paketaxo,15,9,2,260,149
dip de queso,4.3,8.4,4.2,522,110
pescado empanizado,0,5.1,60.2,156,288
pollo empanizado KFC,21.6,39.9,50.1,1356,645
ensalada de col,20,10,1,150,180
gravy,5.4,5.7,1.9,577,79
manzana,19,0.2,0.3,1,72
tamal rojo,20,8,6,609,164
pulled pork,1.5,24,33,356,398
salsa bbq,15,0,0,240,60
café helado,93,21,6,0,600
dona glaseada,21,11,2,75,190
concha de vainilla,33.4,9.1,8.1,5,248
tamal dulce,35,6,2,42,222
nito,37.4,10,3,155,252
chocorroles,24.4,6.1,1.7,94,340
jugo jumex,66,0,0,150,264
baconator,41,56,57,1890,940
Frosty,15,99,17,260,132
rajas,24,13,10,230,242
magnum,23.9,15.6,3.1,34,248
Nieve de oreo Holanda,17.7,5.2,1.6,30,124
ensalada buffalo,46,79,44,300,1110
blue cheese,1,14,0,240,130
Palomitas ACTll,17,7.6,2.9,250,148
tostitos,32,13,4,200,260
queso para nachos,14,13,4,1160,180
frambuesas,11.9,0.7,1.2,1,52
chicken noodles,44,1.5,7,610,270
pollo rostizado,0,6,138,60,660
salsa ,8,1,0,60,60
chicken tenders,52,28,28,1410,584
cerveza,12.8,0,1.7,14,155
brisket,0,44,124,88,900
ensalada de papa,32,5,6,0,180
salsa mango habanero,2,0,0,300,20
waffle integral,90,0,0,40,476
pollo a la naranja,10,30,26,880,420
chop suey,13.3,5.3,19,139,178
brocolli beef,20,4,11,480,160
arroz frito,138.4,36,6.4,960,904
galleta de la suerte,7,0,1,8,32
mandarina,5.5,0.1,0.4,0,26
chile relleno,37,20,23,770,400
gansito,29,8,2,120,200
subway BMT,47,20,22,1500,450
chilaquiles,47.8,48,14.6,0,665
agua de horchata,56,0,0,35,220
tapioca,60,6,3,450,300
mango,24.7,0.6,1.4,1.6,99
sabritones,16,8,2,620,140
clam chowder,24,22,6,770,320
queso manchego lala,1.3,4.3,2.8,200,55
salchichón chimex,13.5,12.2,10,1108,204
jugo Natura durazno,8,0,0,15,35
Double Western Bacon,55,76,55,1980,1010
Malteada Carls Jr,36,84,12,300,690
chile con queso,24,20,20,433,340
Chile colorado,12,12,22,1150,230
asado de puerco,4.8,20.5,23.2,57.7,300
camote,16.8,0.2,1.1,8.9,73
Lengua de res,4,16,15,69,224
lomo de puerco,6.6,10.4,18.8,407.9,197
noodles,41,1,7,0,200
surimi,1.9,0.3,4.3,40.5,28
rollo de sushi,54,2.5,13,340,340
poke bowl,52,10,39,0,460
germinado de soya,3.5,0,3,5,31
hard seltzer,2,0,0,20,100
galletas principe,56,12,6,150,300
flan ,17.5,3,3,68,108
fresas con crema,43,1.9,3.6,60,203
Agua fresca de melón,22.6,0.4,1.8,36,93
fajitas de pollo,0,0.5,18,175,77
Torta de pierna,44.7,19.8,21.7,499,448
Aguachile,3.52,4.84,12.3,446,107
